Source,Target,Interaction Type,Interaction Score
CD55,C1qb,Synaptic Effect,-1
IL-10,IL-10Rα,Synaptic Effect,1
Meth,CD200R1,Synaptic Effect,1
NGF,APP,Synaptic Effect,1
P2Y12,DCX,Synaptic Effect,1
PLX3397,HTT,Synaptic Effect,1
PLX5622,C1q,Synaptic Effect,1
PLX5623,CD11b/CR3,Synaptic Effect,1
PS,C1q,Synaptic Effect,1
TM59,ARGI1,Synaptic Effect,1
TM59,C1qR1,Synaptic Effect,1
TM59,GRIA1,Synaptic Effect,1
TM59,GRIA2,Synaptic Effect,1
TM59,GRIA3,Synaptic Effect,1
TM59,IL-1β,Synaptic Effect,1
TM59,NR1D1,Synaptic Effect,1
TM59,STX18,Synaptic Effect,1
TM59,TNF-α,Synaptic Effect,1
TM59,VGLUT1,Synaptic Effect,1
eIF4E,CX3CR1,Synaptic Effect,1
eIF4E,Eif4g1,Synaptic Effect,1
eIF4E,Nlgn1,Synaptic Effect,1
eIF4E,Nlgn2,Synaptic Effect,1
eIF4E,Nlgn3,Synaptic Effect,1
eIF4E,Nlgn4,Synaptic Effect,1
eIF4E,P2Y12,Synaptic Effect,1
eIF4E,TM119,Synaptic Effect,1
APOE,P2Y12,Cellular Excitability,-1
Alpha1,Kir,Cellular Excitability,-1
B1AR,Kir,Cellular Excitability,-1
GDF-15,Nav1.8,Cellular Excitability,-1
IL-10,Nav1.8,Cellular Excitability,-1
IL-18,Nav1.7,Cellular Excitability,1
IL-18,Nav1.8,Cellular Excitability,2
IL-1β,Nav1.1,Cellular Excitability,-1
IL-4,KCa3.1,Cellular Excitability,-1
IL-4,Nav1.1,Cellular Excitability,-1
IL-6,Cav1.2,Cellular Excitability,-2
IL-6,Cav3.2,Cellular Excitability,1
IL-6,MNK 1,Cellular Excitability,1
IL-6,MNK2,Cellular Excitability,1
IL-6,Nav1.1,Cellular Excitability,-1
IL-6,Nav1.7,Cellular Excitability,1
IL-6,Nav1.8,Cellular Excitability,1
MNK 1,Cav3.2,Cellular Excitability,1
MNK2,Cav3.2,Cellular Excitability,1
NGF,APP,Cellular Excitability,1
NGF,TrkA,Cellular Excitability,1
P2Y12,DCX,Cellular Excitability,1
P38 MAPK,ASIC,Cellular Excitability,1
TGF-β1,Kv1.4,Cellular Excitability,1
TM59,ARGI1,Cellular Excitability,1
TM59,C1qR1,Cellular Excitability,1
TM59,GRIA1,Cellular Excitability,1
